Interval,Name,Formula,Criterion,Description
daily,Ins D & Up,(High(2) >= High(1)) and (Low(2) <= Low(1)) and (Close(0) >= High(1)),= true
weekly,Ins Wk & Up,(High(2) >= High(1)) and (Low(2) <= Low(1)) and (Close(0) >= High(1)),= true
monthly,Ins Mo & Up,(High(2) >= High(1)) and (Low(2) <= Low(1)) and (Close(0) >= High(1)),= true
daily,Ins D,(Low(0) - Low(1)) > 0 and (High(1) - High(0)) > 0,= true
weekly,Ins Wk,(Low(0) - Low(1)) > 0 and (High(1) - High(0)) > 0,= true
monthly,Ins Mo,(Low(0) - Low(1)) > 0 and (High(1) - High(0)) > 0,= true
daily,Ins D & Dwn,(High(2) >= High(1)) and (Low(2) <= Low(1)) and (Close(0) <= Low(1)),= true
weekly,Ins Wk & Dwn,(High(2) >= High(1)) and (Low(2) <= Low(1)) and (Close(0) <= Low(1)),= true
monthly,Ins Mo & Dwn,(High(2) >= High(1)) and (Low(2) <= Low(1)) and (Close(0) <= Low(1)),= true
daily,D Hammer,(((High(0) - Low(0)) > 3 * (Open(0) - Close(0)) and ((Close(0) - Low(0)) / (0.001 + High(0) - Low(0)) > 0.6) and ((Open(0) - Low(0)) / (0.001 + High(0) - Low(0)) > 0.6))),= true
weekly,Wk Hammer,(((High(0) - Low(0)) > 3 * (Open(0) - Close(0)) and ((Close(0) - Low(0)) / (0.001 + High(0) - Low(0)) > 0.6) and ((Open(0) - Low(0)) / (0.001 + High(0) - Low(0)) > 0.6))),= true
monthly,Mo Hammer,(((High(0) - Low(0)) > 3 * (Open(0) - Close(0)) and ((Close(0) - Low(0)) / (0.001 + High(0) - Low(0)) > 0.6) and ((Open(0) - Low(0)) / (0.001 + High(0) - Low(0)) > 0.6))),= true
daily,D Shtng Star,(((High(0) - Low(0)) > 3 * (Open(0) - Close(0)) and ((High(0) - Close(0)) / (0.001 + High(0) - Low(0)) > 0.6) and ((High(0)-Open(0)) / (0.001 + High(0) - Low(0)) > 0.6))),= true
weekly,Wk Shtng Star,(((High(0) - Low(0)) > 3 * (Open(0) - Close(0)) and ((High(0) - Close(0)) / (0.001 + High(0) - Low(0)) > 0.6) and ((High(0)-Open(0)) / (0.001 + High(0) - Low(0)) > 0.6))),= true
monthly,Mo Shtng Star,(((High(0) - Low(0)) > 3 * (Open(0) - Close(0)) and ((High(0) - Close(0)) / (0.001 + High(0) - Low(0)) > 0.6) and ((High(0)-Open(0)) / (0.001 + High(0) - Low(0)) > 0.6))),= true
daily,D Bullish Eng,(Open(0) < Open(1) and Open(0) < Close(1)) and (Close(0) > Open(1) and Close(0) > Close(1)),= true
weekly,Wk Bullish Eng,(Open(0) < Open(1) and Open(0) < Close(1)) and (Close(0) > Open(1) and Close(0) > Close(1)),= true
monthly,Mo Bullish Eng,(Open(0) < Open(1) and Open(0) < Close(1)) and (Close(0) > Open(1) and Close(0) > Close(1)),= true
daily,D Bearish Eng,(Close(0) < Close(1) and Close(0) < Open(1)) and (Open(0) > Close(1) and Open(0) > Open(1)),= true
weekly,Wk Bearish Eng,(Close(0) < Close(1) and Close(0) < Open(1)) and (Open(0) > Close(1) and Open(0) > Open(1)),= true
monthly,Mo Bearish Eng,(Close(0) < Close(1) and Close(0) < Open(1)) and (Open(0) > Close(1) and Open(0) > Open(1)),= true
daily,D Hammer & Up,(((High(1) - Low(1)) > 3 * (Open(1) - Close(1)) and ((Close(1) - Low(1)) / (0.001 + High(1) - Low(1)) > 0.6) and ((Open(1) - Low(1)) / (0.001 + High(1) - Low(1)) > 0.6))) and Close(0) > High(1),= true
daily,D Shtng Star & Down,(((High(1) - Low(1)) > 3 * (Open(1) - Close(1)) and ((High(1) - Close(1)) / (0.001 + High(1) - Low(1)) > 0.6) and ((High(1)-Open(1)) / (0.001 + High(1) - Low(1)) > 0.6))) and Open(0) < High(1) and Close(0) < Low(1),= true
daily,D BO,Close(0)-High(1),> 0
daily,D BD,Close(0)-Low(1),< 0
daily,Pos on D,Close(0)-Open(0),> 0
daily,Neg on D,Close(0)-Open(0),< 0
weekly,Wk BO,Close(0)-High(1),> 0
weekly,Wk BD,Close(0)-Low(1),< 0
weekly,Pos on Wk,Close(0)-Open(0),> 0
weekly,Neg on Wk,Close(0)-Open(0),< 0
monthly,Mo BO,Close(0)-High(1),> 0
monthly,Mo BD,Close(0)-Low(1),< 0
monthly,Pos on Mo,Close(0)-Open(0),> 0
monthly,Neg on Mo,Close(0)-Open(0),< 0
